rcaCode,rcaName,rcaEnvDom,rcaZType,rcaSpZTyp,rcaParameterN,rcaParameterP,rcaParameterM,rcaParameterOther,rcaArt58DateDesign,rcaDateArt58,rcaRemarks,rcaHyperlink,rcaBeginLife,rcaEndLife,ReportNetEnvelopeFileId
ESCM1004,Area de captación de la zona Río Zidacos-Olite (desda la EDAR Tafalla-Olite hasta la desembocadura),,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1005,Area de captación de la zona Arroyo Almonazar (desde nacimiento hasta La Corta de San Jerónimo),,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1006,Area de captación de la zona Embalse de la Torre del Águila,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1007,Area de captación de la zona Embalse de Castilserás,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1008,Area de captación de la zona Embalse de La Colada,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1009,Area de captación de la zona Embalse de Los Canchales,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1010,Area de captación de la zona Embalse de Los Molinos del Matachel,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1011,Area de captación de la zona Embalse de Montijo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1012,Area de captación de la zona Embalse de Nogales,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1013,Area de captación de la zona Embalse de Peñarroya,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1014,Area de captación de la zona Embalse de Tentudía,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1015,Area de captación de la zona Embalse de Valdecaballeros,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1016,Area de captación de la zona Embalse de Zafra,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1017,Area de captación de la zona Embalse del Puerto de Vallehermoso,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1018,Area de captación de la zona Embalse del Río Ruecas,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1019,Area de captación de la zona Laguna de Manjavacas,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1020,Area de captación de la zona Laguna del Camino de Villafranca,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM1021,Area de captación de la zona Laguna del Longar,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM440,Area de captación de la zona Desembocadura del Río Tinto,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM449,Area de captación de la zona Albufera d'Es Grau,,UWWCMSA,A523,0,1,1,0,,,,,,,60330
ESCM442,Area de captación de la zona Parque Nacional de Las Tablas de Daimiel,,UWWCMSA,A523,0,0,1,0,,,,,,,60330
ESCM446,Area de captación de la zona Estany de ses Gambes y Laguna d'es Tamarells (Mallorca),,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM447,Area de captación de la zona Estanys de Sa Colonia de Sant Jordi (Mallorca),,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM448,Area de captación de la zona Ses Salines (Formentera),,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM450,Area de captación de la zona Ses Feixes (Ibiza),,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM459,Area de captación de la zona S'Estany d'en Mas (Mallorca),,UWWCMSA,A523,0,1,1,0,,,,,,,60330
ESCM620,Area de captación de la zona Frente litoral del Parque Natural del Prat de Cabanes-Torreblanca,,UWWCMSA,A523,0,1,1,0,,,,,,,60330
ESCM621,Area de captación de la zona Bahía de Benicassim,,UWWCMSA,A523,0,1,1,0,,,,,,,60330
ESCM466,Area de captación de la zona Embalse de Sierra Boyera,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM467,Area de captación de la zona Embalse de Puente Nuevo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM468,Area de captación de la zona Embalse de Canales,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM469,Area de captación de la zona Embalse de Cubillas,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM470,Area de captación de la zona Embalse de Gergal,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM471,Area de captación de la zona Embalse de Huesna,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM472,Area de captación de la zona Embalse del Arquillo de San Blas,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM474,Area de captación de la zona Embalse de Yesa,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM478,Area de captación de la zona Embalse de La Tranquera,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM479,Area de captación de la zona Embalse de Cueva Foradada,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM481,Area de captación de la zona Embalse de Caspe,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM482,Area de captación de la zona Embalse de La Estanca de Alcañiz,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM637,Area de captación de la zona Estuario del Butron,,UWWCMSA,A523,1,0,0,0,,,,,,,60330
ESCM638,Area de captación de la zona Estuario del Oka,,UWWCMSA,A523,1,0,0,0,,,,,,,60330
ESCM639,Area de captación de la zona Estuario del Lea,,UWWCMSA,A523,1,0,0,0,,,,,,,60330
ESCM640,Area de captación de la zona Estuario del Inurritza,,UWWCMSA,A523,1,0,0,0,,,,,,,60330
ESCM641,Area de captación de la zona Estuario de Oiartzun,,UWWCMSA,A523,1,0,0,0,,,,,,,60330
ESCM642,Area de captación de la zona Estuario del Bidasoa,,UWWCMSA,A523,1,0,0,0,,,,,,,60330
ESCM657,Area de captación de la zona Marjal de Cabanes,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM658,Area de captación de la zona Marjal de Pego-Oliva,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM659,Area de captación de la zona Lagunas de Santa Pola,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM674,Area de captación de la zona Platja des Pujols (Formentera),,UWWCMSA,A523,0,0,1,0,,,,,,,60330
ESCM1033,Area de captación de la zona Estuario Artibai,,UWWCMSA,A523,1,0,0,0,,,,,,,60330
ESCM1222,Area de captación de la zona Encoro de Rosadoiro,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1223,Area de captación de la zona Encoro do Con,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1224,Area de captación de la zona Encoro de Baiona,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1187,Area de captación de la zona Port de Tarragona,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1188,Area de captación de la zona El Fluvià desde Besalú hasta el mar,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1189,Area de captación de la zona Rec Sirvent desde Vilamalla hasta el mar,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1190,Area de captación de la zona Rec Madral desde Marzà hasta el mar,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1201,Area de captación de la zona Lagoa de Bodeiro,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1202,Area de captación de la zona Lagoa de Vixán,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1203,Area de captación de la zona Lagoa de San Pedro de Muro,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1204,Area de captación de la zona Lagoa de Doniños,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1205,Area de captación de la zona Lagoa de Sobrado dos Monxes,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1206,Area de captación de la zona Lagoa de Baldaio,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1207,Area de captación de la zona Lagoa Carnota-Caldebarcos,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1208,Area de captación de la zona Lagoa Corrubedo (Artes-Carregal),,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1209,Area de captación de la zona Lagoa da Frouxeira,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1212,Area de captación de la zona Encoro da Ponte Olveira,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1213,Area de captación de la zona Encoro das Forcadas,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1214,Area de captación de la zona Encoro de Cecebre,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1215,Area de captación de la zona Encoro do Pontillón de Castro,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1216,Area de captación de la zona Encoro de Eiras,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1217,Area de captación de la zona Presa de Zamáns,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1218,Area de captación de la zona Encoro da Caldas de Reis,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1219,Area de captación de la zona Encoro de Beche,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1220,Area de captación de la zona Encoro de Vilasenín o San Cosmade,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM1221,Area de captación de la zona Encoro de Santa Uxía,,UWWCMSA,A523,1,1,0,0,,,,,,,60330
ESCM2001,Area de captación de la zona Canal de María Cristina,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM2010,Area de captación de la zona Río Amadorio,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM2006,Area de captación de la zona Río Verde,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM2005,Area de captación de la zona Els Bassars-Clot de Galvany,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM2007,Area de captación de la zona Embalse de Villagonzalo,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM2009,Area de captación de la zona Embalse de Rivera de Gata,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM2002,Area de captación de la zona Embalse de El Val,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM2016,Area de captación de la zona Marjal de La Safor,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM2017,Area de captación de la zona Marjals y estanys de Almenara,,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM2018,Area de captación de la zona O Miñor (A Ramallosa),,UWWCMSA,A523,0,1,0,0,,,,,,,60330
ESCM675,Area de captación de la zona Playa de Migjorn (Formentera),,UWWCMSA,A523,0,0,1,0,,,,,,,60330
ESRI2012,Embalse de Miranda,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI2013,Embalse de Tanes y Embalse de Rioseco,,UWWRISA,A523,0,1,0,0,,,,,20180101,,60330
ESRI2014,Embalse de Espinar y Embalse de Tejo,,UWWRISA,A523,0,1,0,0,,,,,20180101,,60330
ESRI2015,Embalse de Fuentes Claras y Embalse de Castro de Las Cogotas,,UWWRISA,A523,0,1,0,0,,,,,20180101,,60330
ESCA720,Cala Figuera (Mallorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA721,Cala Pi - Cala Beltràn (Mallorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA722,Bahía de Peguera y Santa Ponça (Mallorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA723,Port d'Andratx (Mallorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA724,Port de Sóller (Mallorca),,UWWCASA,A523,1,0,1,0,,,,,,,60330
ESCA725,Cala Sant Vicenç (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA726,Cala Ratjada (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA710,Cala Tirant (Menorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA711,Bahía d'Alcúdia (1) (Mallorca),,UWWCASA,A523,1,0,1,0,,,,,,,60330
ESCA712,Cala Murta (Mallorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA713,Cala Anguila - Cala Mendia (Mallorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA714,Cala Barques (Mallorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA715,Cala Magraner - Cala Virgili (Mallorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA716,Portocolom - Cala Marçal (Mallorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA717,Cala Mitjana (Mallorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA718,Porto Preto (Mallorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA719,Bahía de Cala Mondragó (Mallorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA692,Bahía de Fornells (Menorca),,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA727,Font de sa Cala (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA694,Cala Sant Esteve (Menorca),,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA695,Cala Canutells (Menorca),,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA696,Cala Coves (Menorca),,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA728,Bahía de Canyamel (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA729,Bahía de sa Coma - S'Illot (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA730,Cala Morlanda (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA731,Cala Santanyí - Cala Llombards (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA732,Bahía de la Platja des Caragol (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA733,Cala en Tugores (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA734,Port de Sant Jordi - Els Dolç - Es Carbó (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA441,Parque Natural del Oyambre,,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA449,Albufera d'Es Grau,,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA620,Frente litoral del Parque Natural del Prat de Cabanes-Torreblanca,,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA621,Bahía de Benicassim,,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA622,Frente litoral del Parque Natural de l'Albufera,,UWWCASA,A523,1,1,1,0,,,,,,,60330
ESCA437,Paraje Natural de las Marismas del Odiel,,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA439,Parque Natural Bahía de Cádiz,,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA440,Desembocadura del Río Tinto,,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA623,Frente litoral del Parque Natural del Montgó,,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA447,Estanys de Sa Colonia de Sant Jordi (Mallorca),,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA448,Ses Salines (Formentera),,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA624,Frente litoral del Parque Natural del Penyal d'Ifac,,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA450,Ses Feixes (Ibiza),,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA625,Frente litoral del Parque Natural de Las Salinas de Santa Pola,,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA626,Ría de Pontevedra,,UWWCASA,A523,1,1,0,0,,,,,,,60330
ESCA636,Bahía de Cullera,,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA646,Marismas de Santoña,,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA647,Marismas de Victoria,,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA648,Marismas de Joyel,,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA649,Albufera de Son Bou (Menorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA659,Lagunas de Santa Pola,,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA674,Platja des Pujols (Formentera),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA675,Playa de Migjorn (Formentera),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA676,Cala Llonga (Ibiza),,UWWCASA,A523,1,0,1,0,,,,,,,60330
ESCA677,Cala Vedella (Ibiza),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA678,Bahía de Portmany (Ibiza),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA679,Cala de Sant Vicent (Ibiza),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA680,Cala Llenya (Ibiza),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA681,Es Canar (Ibiza),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA682,Bahía de Talamanca (Ibiza),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA627,Mar Menor,,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA683,Platja d'en Bossa - Figueretes,,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA684,Es Codolar (Ibiza),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA685,Es Jondal (Ibiza),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA686,Port des Porroig (Ibiza),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA687,Cala Bassa (Ibiza),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA688,Es Portitxol (Ibiza),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA689,Bahía del Port de Sant Miquel y Benirràs (Ibiza),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA690,Xarraca (Ibiza),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA691,Cala de Portinatx (Ibiza),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA637,Estuario del Butron,,UWWCASA,A523,1,0,0,0,,,,,,,60330
ESCA638,Estuario del Oka,,UWWCASA,A523,1,0,0,0,,,,,,,60330
ESCA639,Estuario del Lea,,UWWCASA,A523,1,0,0,0,,,,,,,60330
ESCA640,Estuario del Inurritza,,UWWCASA,A523,1,0,0,0,,,,,,,60330
ESCA641,Estuario de Oiartzun,,UWWCASA,A523,1,0,0,0,,,,,,,60330
ESCA642,Estuario del Bidasoa,,UWWCASA,A523,1,0,0,0,,,,,,,60330
ESCA693,Bahía d'es Grau (Menorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA697,Cala en Porter (Menorca),,UWWCASA,A523,1,0,1,0,,,,,,,60330
ESCA698,Cala Trebalúger (Menorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA699,Cala Galdana (Menorca),,UWWCASA,A523,1,0,1,0,,,,,,,60330
ESCA700,Cala Macarella (Menorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA701,Cala en Turqueta (Menorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA702,Bahía de Son Saura (Menorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA703,Cala en Bosch (Menorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA661,s'Estany Pudent (Formentera),,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA662,s'Estany des Peix (Formentera),,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA663,Estanys de sa Sal Rossa (Ibiza),,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA664,Ses Salines - Estany des Cavallet (Ibiza),,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA704,Cala Blanca (Menorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA705,Port de Ciutadella y Cala des Degollador (Menorca),,UWWCASA,A523,1,0,1,0,,,,,,,60330
ESCA706,Bahía de l'Arenal d'en Castell - Son Saura (Menorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA707,Bahía de Binissafúller (Menorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA671,El Charco de San Ginés,,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA672,La Charca de Maspalomas,,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA708,Cala Morell (Menorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA709,Cala d'Algariens (Menorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA996,Bahía d'Alcúdia (2) (Mallorca),,UWWCASA,A523,1,0,1,0,,,,,,,60330
ESLK459,S'Estany d'en Mas (Mallorca),,UWWLKSA,A523,0,1,1,0,,,,,,,60330
ESLK656,La Albufera de Valencia y rambla del Poyo,,UWWLKSA,A523,0,1,1,0,,,,,,,60330
ESCA743,L'Olla (Cabrera),,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESLK657,Marjal de Cabanes,,UWWLKSA,A523,0,1,0,0,,,,,,,60330
ESLK658,Marjal de Pego-Oliva,,UWWLKSA,A523,0,1,0,0,,,,,,,60330
ESRI432,El Riu d'Or desde Santpedor hasta El Llobregat,,UWWRISA,A523,1,1,0,0,,,,,,,60330
ESRI433,El Negre desde Solsona hasta El Cardener,,UWWRISA,A523,1,1,0,0,,,,,,,60330
ESRI442,Parque Nacional de Las Tablas de Daimiel,,UWWRISA,A523,0,0,1,0,,,,,,,60330
ESRI466,Embalse de Sierra Boyera,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI467,Embalse de Puente Nuevo,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI468,Embalse de Canales,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI469,Embalse de Cubillas,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI470,Embalse de Gergal,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI471,Embalse de Huesna,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI472,Embalse del Arquillo de San Blas,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI474,Embalse de Yesa,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI478,Embalse de La Tranquera,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI479,Embalse de Cueva Foradada,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI481,Embalse de Caspe,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI483,Embalse de Ardisa,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI484,Embalse de Mequinenza,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI487,Embalse de Alfilorios,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI488,Embalse del Ebro,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI489,Embalse de Guajaraz,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI490,Embalse del Torcón,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1005,Arroyo Almonazar (desde nacimiento hasta La Corta de San Jerónimo),,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1006,Embalse de la Torre del Águila,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1007,Embalse de Castilserás,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1008,Embalse de La Colada,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1009,Embalse de Los Canchales,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1010,Embalse de Los Molinos del Matachel,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1011,Embalse de Montijo,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1012,Embalse de Nogales,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1013,Embalse de Peñarroya,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1014,Embalse de Tentudía,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1015,Embalse de Valdecaballeros,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1016,Embalse de Zafra,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1017,Embalse del Puerto de Vallehermoso,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1018,Embalse del Río Ruecas,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESCA629,LIC Franja Marina del Valle Gran Rey (La Gomera),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESRI1027,Río Albaida (desde el Río Cànyoles hasta el Río Barcheta),,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1028,Río Valdemembra (desde Motilla del Palancar hasta Quintanar del Rey),,UWWRISA,A523,0,1,1,0,,,,,,,60330
ESRI1029,Río Vinalopó (desde la Acequia del Rey hasta Sax),,UWWRISA,A523,1,1,1,0,,,,,,,60330
ESRI1030,Embalse de Castrelo,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1031,Embalse de Santiago,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI1032,Rambla del Albujón,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESCA630,LIC Charco del Conde (La Gomera),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA631,LIC Charco de Cieno (La Gomera),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESRI850,Embalse de Alqueva,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESRI2000,Embalse de Pocinho,,UWWRISA,A523,0,1,0,0,,,,,,,60330
ESCA735,Bahía de Palma (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA736,Cala de ses Penyes Rotges (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA737,Bahía de Camp de Mar (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA738,Bahía de Sant Elm (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA739,Cala de Deià (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA740,Cala Tuent (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA742,Es Port (Cabrera),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA744,Bahía del Port de La Savina (Formentera),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA745,Bahía de Cala Millor (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA746,Cala de sa Calobra (Mallorca),,UWWCASA,A523,0,0,1,0,,,,,,,60330
ESCA747,Bahía de Pollença (Mallorca),,UWWCASA,A523,0,1,1,0,,,,,,,60330
ESCA748,Bahía de Ibiza,,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA758,Por de Maó (Menorca),,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESCA985,El Fangar,,UWWCASA,A523,1,1,0,0,,,,,,,60330
ESCA986,Els Alfacs,,UWWCASA,A523,1,1,0,0,,,,,,,60330
ESCA991,Cala Santa María (Cabrera),,UWWCASA,A523,0,1,0,0,,,,,,,60330
ESLK1019,Laguna de Manjavacas,,UWWLKSA,A523,0,1,0,0,,,,,,,60330
ESLK1020,Laguna del Camino de Villafranca,,UWWLKSA,A523,0,1,0,0,,,,,,,60330
ESLK1021,Laguna del Longar,,UWWLKSA,A523,0,1,0,0,,,,,,,60330
ESLK1022,Laguna del Prado o Inesperada,,UWWLKSA,A523,0,1,0,0,,,,,,,60330
ESLK1023,Laguna del Taray de Pedroñeras,,UWWLKSA,A523,0,1,0,0,,,,,,,60330
ESLK1024,Laguna del Taray de Quero,,UWWLKSA,A523,0,1,0,0,,,,,,,60330
ESLK1025,Laguna Larga,,UWWLKSA,A523,0,1,0,0,,,,,,,60330
ESLK446,Estany de ses Gambes y Laguna d'es Tamarells (Mallorca),,UWWLKSA,A523,0,1,0,0,,,,,,,60330
