ReportNetEnvelopeFileId,flatpComments,flatpEUFund,flatpEUFundName,flatpExpCapacity,flatpExpecDateCompletion,flatpExpecDatePerformance,flatpExpecDateStart,flatpExpecDateStartWork,flatpExpecTreatment,flatpExpLoad,flatpExpLoadTruck,flatpInv,flatpLoan,flatpLoanName,flatpMeasures,flatpOtherFund,flatpOtherFundName,flatpReasons,flatpStatus,flarepCode,uwwCode,uwwName
60369,,,,85000,20220630,20230630,20181016,20190401,3NPm,82305,,0.637587,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000584,RSFG0171441601_POLAVENO_24_M
60369,,,,85000,20220630,20230630,20181016,20190401,3NPm,82305,,0.637587,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000435,RSFG0171441701_POLAVENO_25_M
60369,,,,85000,20220630,20230630,20181016,20190401,3NPm,82305,,0.637587,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000436,RSFG0171441801_POLAVENO_26_M
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000654,RSFG0171740101_SAREZZO_5_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000652,RSFG0171740201_SAREZZO_3_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000641,RSFG0171740301_SAREZZO_1_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000649,RSFG0171740401_SAREZZO_2_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000646,RSFG0171740701_SAREZZO_17_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000651,RSFG0171740801_SAREZZO_21_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000648,RSFG0171740901_SAREZZO_19_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000653,RSFG0171741001_SAREZZO_4_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000657,RSFG0171741101_SAREZZO_8_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000655,RSFG0171741201_SAREZZO_6_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000656,RSFG0171741301_SAREZZO_7_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000658,RSFG0171741401_SAREZZO_9_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000642,RSFG0171741501_SAREZZO_10_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000643,RSFG0171741601_SAREZZO_11_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000644,RSFG0171741701_SAREZZO_13_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000645,RSFG0171741801_SAREZZO_14_MISTA
60369,"PI 2017/2181 - (vedasi agglomerato “DIANO_MARINA-DIANO_CASTELLO”, già ""DIANO_MARINA"") - Non è stata fornita dimostrazione circa la conformità analitica per 24 campioni consecutivi (2 mese per 12 mesi). Si rimane attesa del completamento di un set di analisi. A tal fine sono stati programmati interventi, in  parte già realizzati, per poter garantire la continuità prestazionale dell'impianto.",0,,160000,20230630,20240630,20210415,20211004,2,103314,,0.769122,,,"PI 2017/2181 - (vedasi agglomerato “DIANO_MARINA-DIANO_CASTELLO”, già ""DIANO_MARINA"") - Non è stata fornita dimostrazione circa la conformità analitica per 24 campioni consecutivi (2 mese per 12 mesi). Si rimane attesa del completamento di un set di analisi.",,,"Impianto trattamento secondario, ma per il quale non è stata fornita dimostrazione circa la conformità analitica per 24 campioni consecutivi (2 mese per 12 mesi) dei limitiin concentrazione Tab. 1 All. V D.L.gs. 152/2006.",NC,IT008,IT070000000007,IMPERIA
60369,"Lavori di collettamento acque reflue provenienti dagli agglomerati di ""Borgio Verezzi"", ""Pietra Ligure"" e Val Maremola all'impianto di Borghetto Santo Spirito/loc. Patarello",0,,70000,20230601,20240601,20220523,20221201,2,14860,,5,,,"Lavori di collettamento acque reflue provenienti dagli agglomerati di ""Borgio Verezzi"", ""Pietra Ligure"" e Val Maremola all'impianto di Borghetto Santo Spirito/loc. Patarello",,,Assenza trattamento secondario. Trattamento primario appropriato per le acque reflue provenienti dall'agglomerato di "Tovo San Giacomo",NC,IT008,IT070000000059,VIA_CRISPI
60369,"Lavori di collettamento acque reflue provenienti dall'agglomerato di Cisano sul Neva ad Albenga. Il contratto di disponibilità prevede:
A - tratto Vasche Capoluogo - Piazzale """"Mercatò"""", lunghezza ml. 960 ca. per un importo complessivo dei lavori pari ad euro 657.000;
B - tratto Piazzale """"Mercatò"""" - Frazione Leca d'Albenga via Piemonte, lunghezza ml. 1.250 ca. per un importo complessivo dei lavori pari ad euro 854.000.
La durata dei lavori, da cronoprogramma, prevede il completamento delle opere rispettivamente:  A - 160 giorni; B- 208 giorni.
Da segnalare che il progetto definitivo è in attesa del nulla-osta della Soprintendenza.",0,,2536,20241231,20251231,20221231,20231231,2,2536,,1.511,,,Lavori di collettamento acque reflue provenienti dall'agglomerato di Cisano sul Neva ad Albenga,,,Assenza trattamento secondario,NC,IT008,IT07Q210000002,CISANO_LOC_BENASSEA
60369,Sono stati programmati interventi per poter garantire la continuità prestazionale dell'impianto.,0,,35000,20231231,20241231,20220114,20221031,2,35000,,0.34,,,.,,,"Impianto trattamento secondario, ma per il quale sono stati registrati superi dei limiti in concentrazione (Tab. 1 All. V D.L.gs. 152/2006)",NC,IT008,IT070000000009,VALLECROSIA
60369,,,,9333,20211030,20221030,20180112,20180404,3Pm,11526,,0.512156,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000451,RSFG0120130501_BESOZZO_SUPERIORE_8
60369,,,,9333,20210630,20220630,20180112,20180404,3Pm,11526,,0.113641,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000452,RSFG0120130601_BESOZZO_9
60369,,,,9333,20210630,20220630,20180112,20180404,3Pm,11526,,0.113641,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000454,RSFG0120130701_BESOZZO_35
60369,,,,9333,20210630,20220630,20180112,20180404,3Pm,11526,,0.113641,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000453,RSFG0120133501_BESOZZO_10
60369,,,,120000,20251231,20261231,20231231,20240101,3Pm,79671,,4.654,,,Dismissione dell'impianto e collettamento dei reflui ad altro depuratore,,,Impianto non conforme limiti Tab.1,NC,IT008,IT03160128000367,DP01203001_CANTELLO
60369,,,,397224,20211231,20221231,20201101,20210101,3Pm,365665,,0,,,Esecuzione dei controlli,,,Impianto non conforme limiti Tab.1 e Tab.2,NC,IT008,IT03160128000384,DP01209001_LONATE_POZZOLO
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000176,RSFG0170340101_CALVISANO_74
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000120,RSFG0170340201_CALVISANO_12
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000121,RSFG0170340301_CALVISANO_13
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000122,RSFG0170340401_CALVISANO_14
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000123,RSFG0170340501_CALVISANO_15
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000124,RSFG0170340601_CALVISANO_16
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000125,RSFG0170340701_CALVISANO_17
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000126,RSFG0170340801_CALVISANO_18
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000129,RSFG0170340901_CALVISANO_20
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000131,RSFG0170341001_CALVISANO_22
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000132,RSFG0170341101_CALVISANO_23
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000135,RSFG0170341201_CALVISANO_26
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000136,RSFG0170341301_CALVISANO_27
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000137,RSFG0170341401_CALVISANO_28
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000140,RSFG0170341501_CALVISANO_30_
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000141,RSFG0170341601_CALVISANO_31
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000142,RSFG0170341701_CALVISANO_32
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000143,RSFG0170341801_CALVISANO_33
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000144,RSFG0170341901_CALVISANO_34
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000647,RSFG0171741901_SAREZZO_18_MISTA
60369,,,,85000,20220630,20230630,20181016,20191130,3NPm,82305,,0.783365,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000650,RSFG0171742001_SAREZZO_20_MISTA
60369,,,,85000,20221231,20231231,20181016,20190430,3NPm,82305,,0.605516,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000669,RSFG0171990101_VILLA_CARCINA_5_S9
60369,,,,85000,20221231,20231231,20181016,20190430,3NPm,82305,,0.605516,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000673,RSFG0171990201_VILLA_CARCINA_9_S13
60369,,,,85000,20221231,20231231,20181016,20190430,3NPm,82305,,0.605516,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000661,RSFG0171990501_VILLA_CARCINA_1_S3
60369,,,,85000,20221231,20231231,20181016,20190430,3NPm,82305,,0.605516,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000662,RSFG0171990601_VILLA_CARCINA_2_S4
60369,,,,85000,20221231,20231231,20181016,20190430,3NPm,82305,,0.605516,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000668,RSFG0171990701_VILLA_CARCINA_4_S8
60369,,,,85000,20221231,20231231,20181016,20190430,3NPm,82305,,0.605516,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000664,RSFG0171990801_VILLA_CARCINA_1_S7
60369,,,,85000,20221231,20231231,20181016,20190430,3NPm,82305,,0.605516,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000666,RSFG0171990901_VILLA_CARCINA_3_S6
60369,,,,85000,20221231,20231231,20181016,20190430,3NPm,82305,,0.605516,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000671,RSFG0171991001_VILLA_CARCINA_7_S11
60369,,,,85000,20221231,20231231,20181016,20190430,3NPm,82305,,0.605516,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000663,RSFG0171991101_VILLA_CARCINA_1_S5
60369,,,,85000,20221231,20231231,20181016,20190430,3NPm,82305,,0.605516,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000667,RSFG0171991201_VILLA_CARCINA_4_S15
60369,,,,85000,20221231,20231231,20181016,20190430,3NPm,82305,,0.605516,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000665,RSFG0171991501_VILLA_CARCINA_10_S14
60369,,,,85000,20221231,20231231,20181016,20190430,3NPm,82305,,0.605516,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000443,RSFG0171991601_VILLA_CARCINA_1_NS1
60369,,,,85000,20221231,20231231,20181016,20190430,3NPm,82305,,0.605516,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000444,RSFG0171991701_VILLA_CARCINA_1_NS2
60369,,,,85000,20221231,20231231,20181016,20190430,3NPm,82305,,0.605516,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000445,RSFG0171991801_VILLA_CARCINA_6_8_S16
60369,,,,85000,20230630,20240630,20181016,20190630,3NPm,82305,,1.123878,,,collettamento della rete NOTCON al depuratore in costruzione,,,impianto con solo livello di trattamento primario,NC,IT008,IT03Q150000095,DP01707501_GARDONE_VAL_TROMPIA_ROVEDOLO
60369,,,,5000,20230228,20240228,20180228,20180430,3NPm,3287,,0.05,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q150000099,RSFG0170630401_CORTENO_GOLGI_GALLENO_3
60369,,,,5000,20230228,20240228,20180228,20180430,3NPm,3287,,0.05,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q150000100,RSFG0170630701_CORTENO_GOLGI_GALLENO_5
60369,,,,5000,20230228,20240228,20180228,20180430,3NPm,3287,,0.05,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q150000101,RSFG0170630801_CORTENO_GOLGI_GALLENO_6
60369,,,,17200,20260930,20270930,20191025,20200309,3NPm,14906,,1,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000220,RSFG0170680101_EDOLO_CAPOLUOGO
60369,,,,17200,20260930,20270930,20191025,20200309,3NPm,14906,,1.682921,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000221,RSFG0170680401_EDOLO_1_M
60369,,,,17200,20260930,20270930,20191025,20200309,3NPm,14906,,1.682921,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000228,RSFG0170680501_EDOLO_2_M
60369,,,,17200,20260930,20270930,20191025,20200309,3NPm,14906,,1.682921,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000229,RSFG0170680601_EDOLO_3_M
60369,,,,17200,20260930,20270930,20191025,20200309,3NPm,14906,,1.682921,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000230,RSFG0170680701_EDOLO_4_M
60369,,,,17200,20260930,20270930,20191025,20200930,3NPm,14906,,1.986254,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000231,RSFG0170680801_EDOLO_5_M
60369,,,,17200,20260930,20270930,20191025,20200930,3NPm,14906,,1.986254,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000226,RSFG0170681501_EDOLO_17_M
60369,,,,17200,20260930,20270930,20191025,20200930,3NPm,14906,,1.986254,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000227,RSFG0170681601_EDOLO_19_M
60369,,,,50,20291231,20301231,20271231,20281231,3NPm,50,,1,,,Interventi in corso di definizione,,,impianto con solo livello di trattamento primario,NC,IT008,IT03Q170000153,DP01706806_EDOLO_MU
60369,,,,17200,20301231,20311231,20271231,20281231,3NPm,14906,,0.0675,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000234,RSFG0170281301_BRENO_10_M
60369,,,,17200,20301231,20311231,20271231,20281231,3NPm,14906,,0.0675,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000245,RSFG0170282401_BRENO_22_M
60369,,,,17200,20301231,20311231,20271231,20281231,3NPm,14906,,0.0675,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000246,RSFG0170282501_BRENO_23_M
60369,,,,17200,20301231,20311231,20271231,20281231,3NPm,14906,,0.0675,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000247,RSFG0170282601_BRENO_24_M
60369,,,,17200,20301231,20311231,20271231,20281231,3NPm,14906,,0.5,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q170000158,RSFG0170500201_CETO_NADRO_2_E_3
60369,,,,17200,20301231,20311231,20271231,20281231,3NPm,14906,,0.933333,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q150000115,RSFG0170940201_LOSINE_1M
60369,,,,17200,20301231,20311231,20271231,20281231,3NPm,14906,,0.933333,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q150000116,RSFG0170940301_LOSINE_2M
60369,,,,17200,20301231,20311231,20271231,20281231,3NPm,14906,,0.933333,,,collettamento della rete NOTCON al depuratore,,,rete fognaria senza trattamento,NC,IT008,IT03Q150000117,RSFG0170940401_LOSINE_3M
60369,,,,76712,20301231,20311231,20271231,20281231,3NPm,40002,,1,,,Dismissione dell'impianto e collettamento dei reflui ad altro depuratore,,,Impianto senza rimozione dell'azoto e del fosforo,NC,IT008,IT03Q150000107,DP01704901_CERVENO
60369,,,,17200,20301231,20311231,20271231,20281231,3NPm,14906,,0.5,,,Dismissione dell'impianto e collettamento dei reflui ad altro depuratore,,,Impianto senza rimozione del fosforo,NC,IT008,IT03Q150000109,DP01705002_CETO_CAMPAGNELLI
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000213,RSFG0170880101_LENO_1_1_M
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000214,RSFG0170880201_LENO_CAPOLUOGO_1_9A
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000215,RSFG0170880401_LENO_1_10_M
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000216,RSFG0170880501_LENO_1_11_M
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000217,RSFG0170880601_LENO_1_12_M
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000218,RSFG0170880701_LENO_1_9B_M
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000219,RSFG0170880801_LENO_1_13_M
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000220,RSFG0170880901_LENO_1_16_M
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000221,RSFG0170886501_LENO_1_2_M
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000222,RSFG0170886601_LENO_1_3_M
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000223,RSFG0170886701_LENO_1_4_M
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000224,RSFG0170886801_LENO_1_5_M
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000225,RSFG0170886901_LENO_1_6A_M
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000226,RSFG0170887001_LENO_1_6B_M
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000227,RSFG0170887101_LENO_1_7_M
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000228,RSFG0170887201_LENO_1_8_M
60369,,,,18279,20251031,20261031,20221231,20230331,3NPm,11861,,0.194481,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q13000000229,RSFG0170887301_LENO_1_14_M
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000145,RSFG0170342001_CALVISANO_35
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000146,RSFG0170342101_CALVISANO_36
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000147,RSFG0170342201_CALVISANO_37
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000152,RSFG0170342301_CALVISANO_41
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000153,RSFG0170342401_CALVISANO_42
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000155,RSFG0170342501_CALVISANO_44
60369,,,,12000,20251231,20261231,20190205,20190305,3Nm,5854,,0.73801,,,collettamento della rete NOTCON al depuratore in costruzione,,,rete fognaria senza trattamento,NC,IT008,IT03Q11000000156,RSFG0170342601_CALVISANO_45
